世界最古の人類を何というか。カタカナで答えなさい。,サヘラントロプスチャデンシス
孔子が説いた考えをまとめた学問を何というか。,儒学
春秋戦国時代を終えて、中国を始めて一国で統一した王朝を何というか。,秦
初めて中国を一国で統一し、政が名乗った役職名を何というか。,始皇帝
始皇帝が北方からの遊牧民族の侵入をふせぐために設けた設備を何というか。,万里の長城
始皇帝が死後、自身の墓地に殉職者を連れて行かずにおかせたものとは何か。,兵馬俑
秦が滅亡後新たに中国を統一した王朝とは何か。,漢
漢が朝鮮半島への進出を目指して朝鮮半島に置いた拠点とは何か。,楽浪郡
領土を西へと拡大した漢が西方の国々との貿易に用いた貿易路を何というか。,シルクロード
シルクロードを通って、インドから中国へと伝わった宗教とは何か。,仏教
古代ギリシャで各地に造られた小国を何というか。カタカナで答えなさい。,ポリス
古代ギリシャで各地に造られた小国を何というか。漢字で答えなさい。,都市国家
アテネなどの都市国家で行われた政治の仕組みを何というか。,民主政
紀元前4世紀ごろにギリシャ世界を統一した都市国家とはどこか。,マケドニア
マケドニアの王で東方遠征をおこない、インダス川流域まで進んだ王とは誰か。,アレクサンドロス大王/アレクサンドロス
アレクサンドロス大王の東方遠征の結果、ギリシャ世界の文化とオリエントの文化が混ざり合って発生した風潮を何というか。,ヘレニズム
紀元前30年ごろに地中海一帯を支配し皇帝を中心に繁栄した国とはどこか。,ローマ帝国
古代ローマで行われていた代表者による政治を何というか。,共和政
ローマ帝国時代に造られた、石造りの巨大な円形闘技場を何というか。,コロッセオ
紀元前5世紀ごろ、インドで釈迦によって開かれた宗教とは何か。,仏教
紀元前5世紀ごろ、インドで仏教を開いた人物とは誰かカタカナで答えなさい。,シャカ
紀元前5世紀ごろ、釈迦が仏教を開いた国とはどこか。,インド
1世紀、イエスの弟子たちにより開かれた宗教とは何か。,キリスト教
紀元前後パレスチナ地域で広く信仰されていた、キリスト教の元となった宗教は何か。,ユダヤ教
イエスの弟子たちによってまとめられたイエスの教えを書いたキリスト教の教典とは何か。,新約聖書/聖書
6世紀にアラビア半島でイスラム教を開いた人物とは誰か。,ムハンマド
6世紀アラビア半島でムハンマドにより広められた宗教とは何か。,イスラム教
イスラム教の聖典とは何か。,クルアーン/コーラン
イスラム教の信仰の対象となる神とは何か。,アッラー/アラー
キリスト教やユダヤ教の聖地とされている場所とはどこか。,エルサレム
古代ギリシャで成年男子が集まり方針を話し合う集まりを何というか。,民会
野尻湖で発見された大型動物の化石とは、ナウマンゾウと何か。,オオツノジカ
野尻湖で発見された大型動物の化石とは、オオツノジカと何か。,ナウマンゾウ
旧石器時代日本で打製石器の材料として使われていた鉱物とは何か。,黒曜石
1万年前ごろから広まった、厚手で表面に縄目模様のついた土器を何というか。,縄文土器
縄文時代の人々の遺跡から発見された一部が欠損したものが多くみられる土でできた像を何というか。,土偶
縄文時代の終わりに定住がはじまり掘り下げた地面に柱を立てて造られた住居を何というか。,たて穴住居/竪穴住居
縄文時代の人々の生活の痕跡として、生活の中で出たごみが捨てられていた場所を何というか。,貝塚
農耕生活が始まり、収穫した作物を収蔵するために建てられた建物とは何か。,高床倉庫
高床倉庫への動物の侵入をふせぐために施された仕掛けとは何か。,ねずみがえし
稲作とともに大陸から伝わった金属器の一つで鐘状の道具を何というか。,銅鐸
稲作とともに大陸から伝わった金属器の一つで古墳などから数百枚単位で見つかる円盤状の道具を何というか。,銅鏡
弥生時代の遺跡で、佐賀県にある堀や櫓跡などが見つかっている遺跡とはどこか。,吉野ケ里遺跡
中国の後漢書に記述が残る、光武帝から金印を授けられたのは何という国の王か。,奴/奴国
奴国の王に金印を授けたことが記載されている中国の書物とは何か。,後漢書
奴の国王が光武帝から授けられた金印には何という文字が彫られていたか。,漢委奴国王
弥生時代30もの国を従えた卑弥呼が治めた国とはどこか。,邪馬台国
邪馬台国の女王で中国へと使いを送った女王とは誰か,卑弥呼
卑弥呼が使いを送った中国の国とはどこか。,魏
卑弥呼が中国へと使いを送った記録が残っている書物とは何か。,魏志倭人伝
アジアの国々が中国の皇帝に使いを送り、貢物を献上し認められることで力を握ることができる仕組みを何というか。,朝貢
紀元前8世紀ごろから作られた、縄文土器に比べ薄く実用的な形状のものが多い、硬度が高い野焼きで作る土器を何というか。,弥生土器
3世紀後半ごろにできた、奈良盆地を中心に強い権力を持った豪族の集まりを何というか。,大和政権/大和王権
大和政権で大王に仕える地域の有力者を何というか。,豪族
大和政権の中心になり地域の豪族らを従えた人物を何というか。,大王
大和政権の皇族や豪族らの墓として造られたものを何というか。,古墳
古墳の中でも近畿地方を中心に多くみられる鍵穴型のものを何というか。,前方後円墳
世界でも最大級の墓とされている堺市にある古墳とは何か。,大山古墳/仁徳天皇陵
古墳の中や周囲に置かれた土製の置物を何というか。,埴輪
５世紀から６世紀にかけて、朝鮮半島や大陸から日本に移り住み多くの技術や文化を伝えた人々を何というか。,渡来人
５世紀から６世紀朝鮮半島の北部を支配した国とはどこか。,高句麗
５世紀から６世紀朝鮮半島の南部の東側を支配した国とはどこか。,新羅
５世紀から６世紀朝鮮半島の南部の西側を支配し、日本とも国交のあった国とはどこか。,百済
中国への朝貢を行い朝鮮半島への進出も図った日本の５人の王を何と呼ぶか。,倭の五王
宋の皇帝に手紙を送り、朝鮮半島での力を持とうとした日本の大王とは誰か。中国名で答えなさい。,武/倭王武
渡来人たちが伝えたかまどを用いて焼かれた、黒色の硬い器を何というか。,須恵器
江田船山古墳と稲荷山古墳で発見された鉄剣に彫られた王の名とは何か。,ワカタケル/ワカタケル大王/獲加多支鹵/獲加多支鹵大王
ワカタケル大王の鉄剣が発見されている熊本県の遺跡とはどこか。,江田船山古墳
ワカタケル大王の鉄剣が発見されている埼玉県の遺跡とはどこか。,稲荷山古墳
5世紀、日本の大王から頻繁に朝貢や手紙があったことが記されている中国の書物とは何か。,宋書
漢滅亡後、６世紀末に中国を統一した王朝とは何か。,隋
隋で作られた、刑法と政治にまつわる法をまとめたものを何というか。,律令
大和政権内で渡来人と結びつき力を持った豪族とは誰か。,蘇我/蘇我氏
６世紀頃から７１０年に奈良に都が移るまでの時代を何というか。,飛鳥時代
推古天皇のおいで摂政として政治を行った人物とは誰か。,聖徳太子/厩戸王
聖徳太子が定めた、家がらにこだわらず、才能や功績により採用する制度を何というか。,冠位十二階
聖徳太子が定めた役人が守るべき決まりを何というか。,十七条の憲法/十七条憲法
小野妹子を大使として大陸の文化を学ぶために派遣した使節を何というか。,遣隋使
遣隋使の大使として派遣された人物とは誰か。,小野妹子
聖徳太子とともに推古天皇を補佐した人物と誰か。,蘇我馬子
６世紀末に天皇に即位した最初の女帝で聖徳太子のおばとは誰か。,推古天皇
聖徳太子が建立した現存する世界最古の木造建築物とは何か。,法隆寺
７世紀初めに隋の滅亡にともない新たに建国された王朝は何か。,唐
唐の文化や制度を学ぶために、日本から送られた使節を何というか。,遣唐使
７世紀半ば、蘇我氏の独裁に対して立ち上がった皇族とは誰か。,中大兄皇子
７世紀半ば、中大兄皇子とともに政治改革を行った人物は誰か。,中臣鎌足
６４５年から始まった、蘇我氏を倒し天皇中心の政治への転換を図る政治改革を何というか。,大化の改新
これまで各地域で豪族が支配をしていた土地や人民を朝廷が一括で管理するように変わった制度を何というか。,公地公民
日本え始めて定められた元号とは何か。,大化
６６３年に百済の救済のため朝鮮半島に兵を送り、唐新羅の連合軍に敗れた戦いを何というか。,白村江の戦い
日本とともに白村江の戦いを戦い、結果滅亡した朝鮮半島の国とはどこか。,百済
大化の改新後、豪族の影響を薄めるために移された都とはどこか。,難波宮
白村江の戦いに敗れ、防衛を強化するために都が移されたのはどこか。,大津宮
天武天皇の時代に導入された、日本最古の貨幣を何というか。,富本銭
白村江の戦いに敗れたのち、中大兄皇子が即位した天皇とは誰か。,天智天皇
天智天皇の死後、後継ぎをめぐって起こった戦いを何というか。,壬申の乱
白村江の戦いののち、海沿いに大陸からの攻撃を防ぐために建てられた設備を何というか。,水城
白村江の戦いご大陸からの攻撃を恐れ、海沿いの山の上に建てたものは何か。,大野城
壬申の乱に勝利した大海人皇子が即位した天皇とは誰か。,天武天皇
天武天皇の死後その跡を継いだのは誰か。,持統天皇
飛鳥に戻っていた政権が新たに都として移したのはどこか。,藤原京
遣唐使が派遣されていた、当時の都とはどこか。,長安
中国にならい、日本でも701年に制定された決まりを何というか。,大宝律令
律令制度を持ち法のもとに運営される国を何と呼ぶか。,律令国家
律令制度の元に組まれた大和政権での政治の仕組みをその役所の数にちなんで何というか。,二官八省
二官八省で、二官とは太政官とあと一つは何か。,神祇官
二官八省で、二官とは神祇官とあと一つは何か。,太政官
710年に新たに都になったのはどこか。,平城京
奈良時代、主に都周辺で流通した貨幣とは何か。,和同開珎
全国を畿内と7つの地域に分ける分け方を何というか。,五畿七道
全国の支配のために朝廷から各国に派遣される役人を何というか。,国司
各地域で、派遣された国司によって地域の豪族を指名して地域の支配を任せた役職を何というか。,郡司
大陸からの侵攻への防衛や外交の中心となる九州に設置された役所とは何か。,大宰府
東北地方での領土拡大と東日本地域の支配を担った役所とは何か。,多賀城
全国の道路整備を進める中で、役人が行き来するために乗り継ぎ用の馬を常駐させた施設を何というか。,駅
奈良時代の律令制度のもと、何歳以上の男女に土地が割り当てられたか。,６歳/６歳以上/６
６歳以上の男女に区に変わらり充てられた土地を何というか。,口分田
６歳以上の男女に土地を割り当て税を納めさせ、死ぬと返却させる仕組みを何というか。,班田収授法
税制度の一つで口分田の面積に応じて稲を納めさせるものを何というか。,租
税制度の一つで租という税では、収穫量の約何％の稲が納めさせられたか。,３％/３
税制度の一つで、成人男子にのみ課されるもので、麻の布もしくは１０日間の労役を課されるものを何というか。,庸
税制度の一つで、庸とは、成人男子に１０日間の労役もしくは、何を求めたか。,麻の布/布
税制度の一つで、調とは何を納める税か。,特産品/地域の特産品
税制度の一つで、成人男子にのみ課されるもので、地域の特産品を求めるものを何というか。,調
税制度の一つで、労役のうち、九州北部の警備に当てられる人を何というか。,防人
税制度のうち男女ともに課される税とは何か。,租
班田収授法の行き詰まりに対して７２３年に制定された、開墾した土地を3代に渡って所有できるという決まりを何というか。,三世一身法/三世一身の法
三世一身法では、開墾者から何代に渡って土地の所有が認められたか。,３/３代
７４３年に新たに制定された、開墾した土地は永久に所有を引き継げるという決まりを何というか。,墾田永年私財法
墾田永年私財法の制定によって、この決まりを利用して貴族や寺社が広げた私有地を何というか。,荘園
奈良時代に仏教の力を利用して国を治めようとし大仏の造立などを行った天皇とはだれか。,聖武天皇
聖武天皇が目指した仏教の力により国家の安寧を目指す考え方を何というか。,鎮護国家
奈良時代に栄えた文化で遣唐使が持ち帰った大陸の文化などが織り交ざった国際色豊かな文化を何というか。,天平文化
遣唐使が持ち帰った宝物など聖武天皇らの所持品が収蔵されている東大寺に造られた倉庫を何というか。,正倉院
正倉院に見られるような組木で作られた建築法を何というか。,校倉造
聖武天皇が鎮護国家をすすめるために全国に造らせた寺院を何というか。,国分寺/国分尼寺
聖武天皇が鎮護国家をすすめるために全国に造らせた女性の僧が入る寺院を何というか。,国分尼寺
聖武天皇が鎮護国家をすすめるために平城京に造らせた国分寺の総本山とはどこか。,東大寺
東大寺の大仏を造立するために、民衆の指示を任された僧とは誰か。,行基
偽僧侶が増加したことで、国内での仏教制度の整備のため中国から招かれた僧とは誰か。,鑑真
仏教とともに大陸から伝わった漢字を用いて、漢字の音で表現した文字を何というか。,万葉仮名
神話や伝承をもとに物語調に書かれた歴史書を何というか。,古事記
神話や伝承などをもとに編年調で書かれた日本の正史を何というか。,日本書紀
皇族から庶民まで４５００首ほどの歌がまとめられた最古の歌集とは何か。,万葉集
万葉集にも掲載されている、九州へと兵役に向かう人々が詠んだ歌を何というか。,防人歌
各地の伝説や特産品・気候などの風土をまとめたものを何というか。,風土記
成人男性に課される60日以内の地方での肉体労働を何というか。,雑徭
